 x1,x2, x3, x4, x5, x6, x7,ÈËÊý
-3.81,1.11,-0.48,-0.54,-1.5,-0.55,-0.73,-0.00773
-3.81,1.11,-0.48,-0.53,-1.49,-0.55,-0.73,-1.53809
-3.81,1.11,-0.48,-0.51,-1.49,-0.55,-0.73,0.25188
-3.81,1.11,-0.48,-0.49,-1.49,-0.55,-0.73,-0.00773
-3.81,1.1,-0.48,-0.47,-1.48,-0.55,-0.73,-0.52696
-3.81,1.1,-0.48,-0.44,-1.48,-0.55,-0.73,0.26554
-3.81,1.09,-0.49,-0.36,-1.46,-0.54,-0.73,0.77111
-3.81,1.09,-0.49,-0.34,-1.45,-0.54,-0.73,0.97607
-3.81,1.09,-0.49,-0.3,-1.45,-0.54,-0.74,-0.5133
-3.81,1.08,-0.49,-0.23,-1.43,-0.54,-0.74,-0.11704
-3.81,1.08,-0.49,-0.22,-1.43,-0.54,-0.74,-1.53809
-3.81,1.07,-0.49,-0.21,-1.43,-0.54,-0.74,-1.53809
-3.81,1.07,-0.5,-0.17,-1.42,-0.54,-0.74,0.51149
-3.81,1.07,-0.5,-0.17,-1.42,-0.54,-0.74,0.22455
-3.81,1.07,-0.5,-0.16,-1.42,-0.54,-0.74,-0.06239
-3.82,1.05,-0.5,0,-1.38,-0.53,-0.75,1.52262
-3.82,1.05,-0.5,0.01,-1.38,-0.53,-0.75,-0.47231
-3.82,1.05,-0.5,0.05,-1.37,-0.53,-0.75,-0.322
-3.82,1.05,-0.51,0.06,-1.37,-0.53,-0.75,0.21089
-3.82,1.04,-0.51,0.11,-1.36,-0.53,-0.75,-0.54063
-3.82,1.04,-0.51,0.13,-1.36,-0.53,-0.75,-0.15804
-3.82,1.03,-0.51,0.18,-1.35,-0.53,-0.75,-0.07605
-3.82,1.03,-0.51,0.22,-1.34,-0.53,-0.75,1.56361
-3.82,1.02,-0.51,0.25,-1.33,-0.53,-0.75,1.27667
-3.82,1.02,-0.51,0.27,-1.33,-0.52,-0.75,0.25188
-3.82,1.02,-0.51,0.27,-1.33,-0.52,-0.75,0.33386
-3.82,1.02,-0.51,0.29,-1.32,-0.52,-0.75,1.00339
-3.82,1.01,-0.52,0.33,-1.32,-0.52,-0.76,-0.00773
-3.82,1.01,-0.52,0.39,-1.3,-0.52,-0.76,0.37486
-3.82,1.01,-0.52,0.4,-1.3,-0.52,-0.76,0.97607
-3.82,1,-0.52,0.42,-1.3,-0.52,-0.76,0.51149
-3.82,1,-0.52,0.43,-1.3,-0.52,-0.76,-0.41765
-3.82,1,-0.52,0.44,-1.29,-0.52,-0.76,0.53882
-3.82,1,-0.52,0.46,-1.29,-0.52,-0.76,1.1127
-3.82,1,-0.52,0.46,-1.29,-0.52,-0.76,0.44317
-3.82,1,-0.52,0.47,-1.29,-0.52,-0.76,-0.90955
-3.82,0.98,-0.53,0.59,-1.26,-0.51,-0.76,0.68912
-3.82,0.98,-0.53,0.61,-1.26,-0.51,-0.76,0.1699
-3.82,0.98,-0.53,0.65,-1.25,-0.51,-0.76,-1.11451
-3.82,0.98,-0.53,0.66,-1.25,-0.51,-0.77,-0.11704
-3.82,0.97,-0.53,0.67,-1.24,-0.51,-0.77,0.01959
-3.82,0.97,-0.53,0.69,-1.24,-0.51,-0.77,0.11524
-3.82,0.97,-0.53,0.7,-1.24,-0.51,-0.77,-0.82757
-3.82,0.97,-0.53,0.72,-1.24,-0.51,-0.77,-0.47231
-3.82,0.97,-0.53,0.73,-1.23,-0.51,-0.77,-1.10084
-3.82,0.96,-0.54,0.8,-1.22,-0.51,-0.77,1.39965
-3.82,0.96,-0.54,0.81,-1.22,-0.51,-0.77,-1.40145
-3.82,0.96,-0.54,0.82,-1.22,-0.51,-0.77,-1.26481
-3.82,0.96,-0.54,0.83,-1.21,-0.51,-0.77,-0.39032
-3.82,0.96,-0.54,0.84,-1.21,-0.51,-0.77,-1.37412
-3.82,0.95,-0.54,0.86,-1.21,-0.51,-0.77,0.45684
-3.83,0.95,-0.54,0.88,-1.2,-0.51,-0.77,1.304
-3.83,0.95,-0.54,0.89,-1.2,-0.51,-0.77,0.97607
-3.83,0.95,-0.54,0.89,-1.2,-0.51,-0.77,-0.14437
-3.83,0.95,-0.54,0.9,-1.2,-0.51,-0.77,-1.56542
-3.83,0.95,-0.54,0.92,-1.19,-0.5,-0.77,1.87788
-3.83,0.95,-0.54,0.93,-1.19,-0.5,-0.77,-0.60894
-3.83,0.95,-0.54,0.94,-1.19,-0.5,-0.77,-1.53809
-3.83,0.94,-0.54,0.94,-1.19,-0.5,-0.77,1.72758
-3.83,0.94,-0.54,0.96,-1.19,-0.5,-0.77,0.71645
-3.83,0.94,-0.54,0.98,-1.18,-0.5,-0.78,-1.56542
-3.83,0.94,-0.54,0.99,-1.18,-0.5,-0.78,-1.53809
-3.83,0.93,-0.55,1.05,-1.17,-0.5,-0.78,1.90521
-3.83,0.93,-0.55,1.08,-1.16,-0.5,-0.78,-1.45611
-3.83,0.93,-0.55,1.08,-1.16,-0.5,-0.78,-0.29468
-3.83,0.93,-0.55,1.11,-1.15,-0.5,-0.78,-0.92321
-3.83,0.92,-0.55,1.16,-1.15,-0.5,-0.78,-0.49963
-3.83,0.92,-0.55,1.16,-1.14,-0.5,-0.78,-1.57908
-3.83,0.92,-0.55,1.17,-1.14,-0.5,-0.78,0.9624
-3.83,0.92,-0.55,1.18,-1.14,-0.5,-0.78,0.45684
-3.83,0.92,-0.55,1.18,-1.14,-0.5,-0.78,0.15623
-3.83,0.92,-0.55,1.19,-1.14,-0.5,-0.78,1.1127
-3.83,0.91,-0.56,1.27,-1.12,-0.49,-0.78,-0.34933
-3.83,0.91,-0.56,1.28,-1.12,-0.49,-0.78,0.92141
-3.83,0.91,-0.56,1.28,-1.12,-0.49,-0.78,1.16736
-3.83,0.91,-0.56,1.29,-1.12,-0.49,-0.78,0.98973
-3.83,0.9,-0.56,1.29,-1.12,-0.49,-0.78,-0.06239
-3.83,0.9,-0.56,1.3,-1.12,-0.49,-0.79,-0.14437
-3.83,0.9,-0.56,1.31,-1.11,-0.49,-0.79,1.1127
-3.83,0.9,-0.56,1.33,-1.11,-0.49,-0.79,0.52516
-3.83,0.9,-0.56,1.33,-1.11,-0.49,-0.79,-0.52696
-3.83,0.9,-0.56,1.34,-1.11,-0.49,-0.79,0.12891
-3.83,0.9,-0.56,1.35,-1.11,-0.49,-0.79,1.1127
-3.83,0.9,-0.56,1.37,-1.1,-0.49,-0.79,1.08538
-3.83,0.9,-0.56,1.37,-1.1,-0.49,-0.79,1.00339
-3.83,0.89,-0.56,1.4,-1.1,-0.49,-0.79,0.34753
-3.83,0.88,-0.56,1.5,-1.08,-0.49,-0.79,-0.19903
-3.83,0.88,-0.56,1.5,-1.07,-0.49,-0.79,0.30654
